Дата;Отрасль;Значение
31.01.2017;Все отрасли;24012.00
28.02.2017;Все отрасли;23142.00
31.03.2017;Все отрасли;24308.00
30.04.2017;Все отрасли;24035.00
31.05.2017;Все отрасли;25803.00
30.06.2017;Все отрасли;26702.00
31.07.2017;Все отрасли;25451.00
31.08.2017;Все отрасли;24434.00
30.09.2017;Все отрасли;24507.00
31.10.2017;Все отрасли;25338.00
30.11.2017;Все отрасли;26013.00
31.12.2017;Все отрасли;28148.00
31.01.2018;Все отрасли;26787.00
28.02.2018;Все отрасли;26464.00
31.03.2018;Все отрасли;26822.00
30.04.2018;Все отрасли;26653.00
31.05.2018;Все отрасли;30307.00
30.06.2018;Все отрасли;30889.00
31.07.2018;Все отрасли;30043.00
31.08.2018;Все отрасли;28582.00
30.09.2018;Все отрасли;28371.00
31.10.2018;Все отрасли;28696.00
30.11.2018;Все отрасли;29147.00
31.12.2018;Все отрасли;32307.00
31.01.2019;Все отрасли;29331.00
28.02.2019;Все отрасли;28468.00
31.03.2019;Все отрасли;29140.00
30.04.2019;Все отрасли;29588.00
31.05.2019;Все отрасли;32014.00
30.06.2019;Все отрасли;33510.00
31.07.2019;Все отрасли;31843.00
31.08.2019;Все отрасли;30000.00
30.09.2019;Все отрасли;30538.00
31.10.2019;Все отрасли;30955.00
30.11.2019;Все отрасли;30494.00
31.12.2019;Все отрасли;35203.00
31.01.2020;Все отрасли;31540.00
29.02.2020;Все отрасли;30801.00
31.03.2020;Все отрасли;32185.00
30.04.2020;Все отрасли;31669.00
31.05.2020;Все отрасли;34231.00
30.06.2020;Все отрасли;35235.00
31.07.2020;Все отрасли;34045.00
31.08.2020;Все отрасли;32052.00
30.09.2020;Все отрасли;32450.00
31.10.2020;Все отрасли;32278.00
30.11.2020;Все отрасли;33238.00
31.12.2020;Все отрасли;38278.00
31.01.2021;Все отрасли;33549.00
28.02.2021;Все отрасли;32734.00
31.03.2021;Все отрасли;34252.00
30.04.2021;Все отрасли;34352.00
31.05.2021;Все отрасли;36648.00
30.06.2021;Все отрасли;38963.00
31.01.2017;Административная деятельность;18069.00
31.01.2017;Водоснабжение;20986.00
31.01.2017;Гос. управление;27601.00
31.01.2017;Гостиницы и общепит;18507.00
31.01.2017;Добыча полезных ископаемых;35255.00
31.01.2017;Здравоохранение;19863.00
31.01.2017;ИТ и связь;28501.00
31.01.2017;Научная и проф. деятельность;31358.00
31.01.2017;Обрабатывающие производства;25164.00
31.01.2017;Образование;19529.00
31.01.2017;Операции с недвижимостью;20010.00
31.01.2017;Сельское хозяйство;21228.00
31.01.2017;Спорт и досуг;17892.00
31.01.2017;Строительство;26345.00
31.01.2017;Торговля;21932.00
31.01.2017;Транспортировка и хранение;27990.00
31.01.2017;Услуги ЖКХ;27561.00
31.01.2017;Финансы и страхование;31874.00
28.02.2017;Административная деятельность;16770.00
28.02.2017;Водоснабжение;19545.00
28.02.2017;Гос. управление;28082.00
28.02.2017;Гостиницы и общепит;17371.00
